"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 00:00","2024","07","01","00:00","","13.8","","10.0","","78","","","","32","","19","","24.1","","100.13","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 01:00","2024","07","01","01:00","","13.0","","10.0","","82","","","","31","","15","","24.1","","100.15","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 02:00","2024","07","01","02:00","","12.1","","9.8","","86","","","","31","","12","","24.1","","100.15","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 03:00","2024","07","01","03:00","","11.1","","9.9","","92","","","","29","","12","","24.1","","100.19","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 04:00","2024","07","01","04:00","","11.7","","9.7","","87","","","","32","","14","","24.1","","100.21","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 05:00","2024","07","01","05:00","","11.5","","9.8","","89","","","","31","","13","","24.1","","100.26","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 06:00","2024","07","01","06:00","","12.6","","9.6","","81","","","","32","","13","","24.1","","100.33","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 07:00","2024","07","01","07:00","","15.2","","8.9","","66","","","","33","","16","","24.1","","100.38","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 08:00","2024","07","01","08:00","","17.4","","9.3","","59","","","","35","","22","","24.1","","100.43","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 09:00","2024","07","01","09:00","","19.5","","8.8","","50","","","","34","","25","","24.1","","100.43","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 10:00","2024","07","01","10:00","","20.9","","8.4","","44","","","","35","","17","","24.1","","100.41","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 11:00","2024","07","01","11:00","","21.4","","9.2","","45","","","","35","","22","","24.1","","100.41","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 12:00","2024","07","01","12:00","","21.9","","9.4","","44","","","","36","","9","","24.1","","100.35","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 13:00","2024","07","01","13:00","","23.0","","10.2","","44","","","","33","","11","","24.1","","100.32","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 14:00","2024","07","01","14:00","","23.9","","11.2","","44","","","","13","","12","","24.1","","100.26","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 15:00","2024","07","01","15:00","","23.2","","10.9","","45","","","","16","","16","","24.1","","100.23","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 16:00","2024","07","01","16:00","","23.4","","9.8","","42","","","","15","","17","","24.1","","100.21","","25","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 17:00","2024","07","01","17:00","","23.3","","10.0","","42","","","","14","","17","","24.1","","100.21","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 18:00","2024","07","01","18:00","","22.4","","9.0","","42","","","","14","","14","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 19:00","2024","07","01","19:00","","21.9","","9.4","","44","","","","17","","10","","24.1","","100.21","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 20:00","2024","07","01","20:00","","20.7","","8.4","","45","","","","15","","9","","24.1","","100.25","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 21:00","2024","07","01","21:00","","20.6","","8.5","","45","","","","17","","4","","24.1","","100.29","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 22:00","2024","07","01","22:00","","20.0","","8.8","","48","","","","31","","9","","24.1","","100.31","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-01 23:00","2024","07","01","23:00","","18.7","","9.0","","53","","","","","","0","","24.1","","100.32","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 00:00","2024","07","02","00:00","","18.2","","9.5","","56","","","","3","","5","","24.1","","100.27","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 01:00","2024","07","02","01:00","","17.9","","11.1","","64","","","","35","","6","","24.1","","100.26","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 02:00","2024","07","02","02:00","","16.1","","11.9","","76","","","","36","","8","","24.1","","100.27","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 03:00","2024","07","02","03:00","","15.3","","11.7","","79","","","","","","0","","24.1","","100.27","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 04:00","2024","07","02","04:00","","14.8","","12.2","","85","","","","31","","6","","24.1","","100.31","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 05:00","2024","07","02","05:00","","14.4","","12.1","","86","","","","","","0","","24.1","","100.36","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 06:00","2024","07","02","06:00","","16.4","","13.1","","80","","","","32","","5","","24.1","","100.39","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 07:00","2024","07","02","07:00","","19.3","","12.1","","63","","","","15","","6","","24.1","","100.40","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 08:00","2024","07","02","08:00","","20.9","","11.6","","55","","","","15","","8","","24.1","","100.38","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 09:00","2024","07","02","09:00","","21.6","","10.4","","48","","","","15","","14","","24.1","","100.37","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 10:00","2024","07","02","10:00","","22.0","","11.4","","50","","","","14","","13","","24.1","","100.36","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 11:00","2024","07","02","11:00","","22.4","","9.6","","44","","","","17","","21","","24.1","","100.34","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 12:00","2024","07","02","12:00","","22.9","","10.8","","46","","","","15","","18","","24.1","","100.29","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 13:00","2024","07","02","13:00","","23.2","","11.8","","48","","","","14","","10","","24.1","","100.21","","25","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 14:00","2024","07","02","14:00","","23.4","","12.2","","49","","","","14","","17","","24.1","","100.16","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 15:00","2024","07","02","15:00","","22.2","","11.6","","50","","","","11","","15","","24.1","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 16:00","2024","07","02","16:00","","22.1","","11.3","","50","","","","13","","10","","24.1","","100.04","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 17:00","2024","07","02","17:00","","21.8","","11.0","","50","","","","8","","10","","24.1","","100.04","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 18:00","2024","07","02","18:00","","21.5","","10.5","","49","","","","11","","16","","24.1","","99.92","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 19:00","2024","07","02","19:00","","21.4","","11.1","","51","","","","11","","16","","24.1","","99.83","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 20:00","2024","07","02","20:00","","21.1","","11.3","","53","","","","11","","14","","24.1","","99.77","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 21:00","2024","07","02","21:00","","20.3","","13.3","","64","","","","13","","11","","24.1","","99.77","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-07-02 22:00","2024","07","02","22:00","","20.3","","13.9","","66","","","","8","","7","","24.1","","99.79","","","","","","Mostly Cloudy"
