"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 00:00","2024","01","01","00:00","","-1.5","","-2.5","","93","","","","5","","19","","6.4","","99.54","","","","-7","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 01:00","2024","01","01","01:00","","-1.6","","-2.7","","93","","","","5","","16","","6.4","","99.55","","","","-7","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 02:00","2024","01","01","02:00","","-1.9","","-2.5","","95","","","","7","","11","","6.4","","99.58","","","","-6","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 03:00","2024","01","01","03:00","","-2.1","","-3.4","","91","","","","7","","10","","9.7","","99.63","","","","-6","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 04:00","2024","01","01","04:00","","-2.1","","-3.6","","90","","","","4","","10","","19.3","","99.66","","","","-6","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 05:00","2024","01","01","05:00","","-2.7","","-5.0","","84","","","","7","","13","","24.1","","99.68","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 06:00","2024","01","01","06:00","","-3.5","","-6.9","","78","","","","7","","14","","24.1","","99.77","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 07:00","2024","01","01","07:00","","-3.7","","-7.3","","76","","","","7","","8","","24.1","","99.84","","","","-7","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 08:00","2024","01","01","08:00","","-3.6","","-6.9","","78","","","","3","","10","","24.1","","99.90","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01 09:00","2024","01","01","09:00","","-3.5","","-7.0","","77","","","","4","","10","","24.1","","99.96","","","","-7","","NA"
