"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 00:00","2024","02","01","00:00","","2.1","","0.0","","86","","","","23","","22","","24.1","","99.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 01:00","2024","02","01","01:00","","2.3","","0.2","","86","","","","24","","21","","16.1","","99.17","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 02:00","2024","02","01","02:00","","2.5","","0.2","","84","","","","25","","20","","16.1","","99.15","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 03:00","2024","02","01","03:00","","2.4","","0.6","","88","","","","24","","19","","9.7","","99.12","","","","","","Rain,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 04:00","2024","02","01","04:00","","2.6","","0.5","","86","","","","23","","15","","12.9","","99.07","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 05:00","2024","02","01","05:00","","2.4","","0.8","","90","","","","24","","17","","9.7","","99.05","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 06:00","2024","02","01","06:00","","2.6","","0.7","","87","","","","23","","17","","12.9","","99.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 07:00","2024","02","01","07:00","","2.7","","0.6","","86","","","","22","","14","","16.1","","99.04","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 08:00","2024","02","01","08:00","","2.8","","0.8","","87","","","","24","","20","","16.1","","99.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 09:00","2024","02","01","09:00","","2.7","","1.0","","89","","","","23","","18","","16.1","","99.11","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 10:00","2024","02","01","10:00","","3.0","","1.5","","90","","","","22","","19","","16.1","","99.02","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 11:00","2024","02","01","11:00","","2.9","","1.7","","92","","","","21","","18","","16.1","","99.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 12:00","2024","02","01","12:00","","3.1","","2.3","","95","","","","24","","16","","8.1","","98.99","","","","","","Drizzle,Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 13:00","2024","02","01","13:00","","3.5","","2.8","","95","","","","24","","17","","12.9","","98.94","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 14:00","2024","02","01","14:00","","3.9","","1.9","","87","","","","26","","10","","19.3","","98.90","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 15:00","2024","02","01","15:00","","4.1","","1.5","","83","","","","29","","12","","19.3","","98.89","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 16:00","2024","02","01","16:00","","4.2","","1.2","","81","","","","26","","12","","24.1","","98.90","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 17:00","2024","02","01","17:00","","3.9","","1.3","","83","","","","24","","12","","24.1","","98.90","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 18:00","2024","02","01","18:00","","3.6","","1.5","","86","","","","24","","13","","24.1","","98.93","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 19:00","2024","02","01","19:00","","3.6","","1.8","","88","","","","26","","13","","24.1","","98.99","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 20:00","2024","02","01","20:00","","3.5","","2.5","","93","","","","30","","17","","9.7","","99.02","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 21:00","2024","02","01","21:00","","3.3","","2.9","","97","","","","31","","12","","9.7","","99.07","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 22:00","2024","02","01","22:00","","3.5","","2.9","","96","","","","34","","21","","9.7","","99.09","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-01 23:00","2024","02","01","23:00","","3.2","","2.8","","97","","","","34","","17","","9.7","","99.10","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 00:00","2024","02","02","00:00","","2.9","","2.8","","99","","","","35","","17","","8.1","","99.14","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 01:00","2024","02","02","01:00","","2.6","","2.6","","100","","","","35","","17","","6.4","","99.17","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 02:00","2024","02","02","02:00","","2.6","","1.6","","93","","","","1","","18","","16.1","","99.21","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 03:00","2024","02","02","03:00","","2.1","","0.5","","89","","","","36","","17","","24.1","","99.28","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 04:00","2024","02","02","04:00","","1.6","","0.0","","89","","","","35","","24","","24.1","","99.35","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 05:00","2024","02","02","05:00","","0.6","","-1.5","","85","","","","34","","22","","24.1","","99.45","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 06:00","2024","02","02","06:00","","0.2","","-2.4","","83","","","","36","","25","","24.1","","99.52","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 07:00","2024","02","02","07:00","","0.2","","-2.7","","81","","","","34","","27","","24.1","","99.62","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 08:00","2024","02","02","08:00","","-0.4","","-2.8","","83","","","","1","","29","","24.1","","99.69","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 09:00","2024","02","02","09:00","","-0.3","","-2.9","","83","","","","36","","28","","24.1","","99.78","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 10:00","2024","02","02","10:00","","0.1","","-3.0","","80","","","","35","","18","","24.1","","99.83","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 11:00","2024","02","02","11:00","","1.3","","-3.2","","72","","","","34","","25","","24.1","","99.89","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 12:00","2024","02","02","12:00","","2.2","","-3.0","","69","","","","35","","18","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 13:00","2024","02","02","13:00","","3.1","","-2.7","","66","","","","35","","20","","24.1","","99.83","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 14:00","2024","02","02","14:00","","3.6","","-3.1","","62","","","","1","","17","","24.1","","99.82","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 15:00","2024","02","02","15:00","","2.8","","-3.5","","63","","","","36","","24","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 16:00","2024","02","02","16:00","","0.7","","-4.2","","70","","","","1","","25","","24.1","","99.92","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 17:00","2024","02","02","17:00","","-0.1","","-4.3","","73","","","","2","","18","","24.1","","99.98","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 18:00","2024","02","02","18:00","","-0.2","","-4.3","","74","","","","1","","19","","24.1","","100.05","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 19:00","2024","02","02","19:00","","-0.4","","-4.5","","73","","","","35","","17","","24.1","","100.10","","","","-5","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 20:00","2024","02","02","20:00","","-1.6","","-5.1","","77","","","","2","","11","","24.1","","100.12","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 21:00","2024","02","02","21:00","","-1.8","","-5.1","","78","","","","1","","16","","24.1","","100.16","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 22:00","2024","02","02","22:00","","-2.1","","-5.1","","80","","","","34","","16","","24.1","","100.15","","","","-7","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-02 23:00","2024","02","02","23:00","","-2.2","","-5.1","","80","","","","34","","17","","24.1","","100.15","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 00:00","2024","02","03","00:00","","-3.3","","-5.7","","84","","","","31","","9","","24.1","","100.13","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 01:00","2024","02","03","01:00","","-3.6","","-5.8","","85","","","","34","","10","","24.1","","100.13","","","","-8","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 02:00","2024","02","03","02:00","","-4.0","","-5.7","","88","","","","36","","8","","24.1","","100.14","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 03:00","2024","02","03","03:00","","-4.6","","-6.1","","89","","","","1","","9","","24.1","","100.15","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 04:00","2024","02","03","04:00","","-4.2","","-5.7","","89","","","","35","","8","","24.1","","100.14","","","","-8","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 05:00","2024","02","03","05:00","","-4.8","","-6.5","","88","","","","32","","10","","24.1","","100.14","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 06:00","2024","02","03","06:00","","-4.8","","-6.6","","88","","","","36","","11","","24.1","","100.14","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 07:00","2024","02","03","07:00","","-5.0","","-6.7","","88","","","","36","","10","","24.1","","100.16","","","","-9","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 08:00","2024","02","03","08:00","","-4.5","","-6.3","","87","","","","1","","5","","24.1","","100.17","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 09:00","2024","02","03","09:00","","-2.8","","-5.5","","82","","","","2","","7","","24.1","","100.21","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 10:00","2024","02","03","10:00","","-1.4","","-6.3","","70","","","","32","","3","","24.1","","100.20","","","","-2","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 11:00","2024","02","03","11:00","","0.3","","-5.8","","63","","","","31","","4","","24.1","","100.19","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 12:00","2024","02","03","12:00","","1.1","","-5.7","","60","","","","30","","5","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 13:00","2024","02","03","13:00","","2.0","","-5.9","","56","","","","2","","3","","24.1","","100.04","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 14:00","2024","02","03","14:00","","3.2","","-6.1","","51","","","","33","","7","","24.1","","99.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 15:00","2024","02","03","15:00","","3.2","","-4.0","","60","","","","16","","7","","24.1","","99.92","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 16:00","2024","02","03","16:00","","2.6","","-3.8","","63","","","","15","","9","","24.1","","99.91","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 17:00","2024","02","03","17:00","","1.1","","-3.6","","71","","","","14","","11","","24.1","","99.93","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 18:00","2024","02","03","18:00","","-0.1","","-3.4","","79","","","","15","","9","","24.1","","99.93","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-02-03 19:00","2024","02","03","19:00","","-0.5","","-3.4","","81","","","","17","","4","","24.1","","99.94","","","","-2","","Clear"
